"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2022","327.50","327.50","327.50","327.50","","0.46%"
"09/26/2022","326.00","326.00","326.00","326.00","","-0.31%"
"09/23/2022","327.00","327.00","327.00","327.00","","1.24%"
"09/22/2022","323.00","323.00","323.00","323.00","","-1.37%"
"09/21/2022","327.50","327.50","327.50","327.50","","-0.05%"
"09/20/2022","327.65","327.65","327.65","327.65","","-1.90%"
"09/19/2022","334.00","334.00","334.00","334.00","","0.45%"
"09/16/2022","332.50","332.50","332.50","332.50","","-1.34%"
"09/15/2022","337.00","337.00","337.00","337.00","","0.30%"
"09/14/2022","336.00","336.00","336.00","336.00","0.02K","0.00%"
"09/13/2022","336.00","336.00","336.00","336.00","","2.13%"
"09/12/2022","329.00","329.00","329.00","329.00","","-2.66%"
"09/09/2022","338.00","338.00","338.00","338.00","","-2.87%"
"09/08/2022","348.00","348.00","348.00","348.00","","-3.33%"
"09/07/2022","360.00","360.00","360.00","360.00","","-5.51%"
"09/06/2022","381.00","381.00","381.00","381.00","","1.90%"
"09/02/2022","373.90","373.90","373.90","373.90","","1.33%"
"09/01/2022","369.00","369.00","369.00","369.00","","1.22%"
"08/31/2022","364.55","364.55","364.55","364.55","","0.68%"
"08/30/2022","362.10","362.10","362.10","362.10","","-5.46%"
"08/29/2022","383.00","383.00","383.00","383.00","","4.97%"
"08/26/2022","364.85","364.85","364.85","364.85","","-0.41%"
"08/25/2022","366.35","366.35","366.35","366.35","","-0.72%"
"08/24/2022","369.00","369.00","369.00","369.00","","-1.86%"
"08/23/2022","376.00","376.00","376.00","376.00","","-0.20%"
"08/22/2022","376.75","376.75","376.75","376.75","0.01K","0.91%"
"08/19/2022","373.35","373.35","373.35","373.35","0.03K","2.47%"
"08/18/2022","364.35","364.35","364.35","364.35","","0.93%"
"08/17/2022","361.00","361.00","361.00","361.00","0.01K","1.59%"
"08/16/2022","355.35","355.35","355.35","355.35","","0.57%"
"08/15/2022","353.35","353.35","353.35","353.35","","1.54%"
"08/12/2022","348.00","348.00","348.00","348.00","","1.06%"
"08/11/2022","344.35","344.35","344.35","344.35","","0.29%"
"08/10/2022","343.35","343.35","343.35","343.35","","4.79%"
"08/09/2022","327.65","327.65","327.65","327.65","0.03K","4.51%"
"08/08/2022","313.50","313.50","313.50","313.50","","-0.05%"
"08/05/2022","313.65","313.65","313.65","313.65","0.01K","-4.19%"
"08/04/2022","327.35","327.35","327.35","327.35","0.03K","-7.23%"
"08/03/2022","352.85","352.85","352.85","352.85","0.01K","-2.97%"
"08/02/2022","363.65","363.65","363.65","363.65","0.01K","-0.51%"
"08/01/2022","365.50","365.50","365.50","365.50","","-6.04%"
"07/29/2022","389.00","389.00","389.00","389.00","","-0.26%"
"07/28/2022","390.00","390.00","390.00","390.00","","0.17%"
"07/27/2022","389.35","389.35","389.35","389.35","","0.26%"
"07/26/2022","388.35","388.35","388.35","388.35","","0.35%"
"07/25/2022","387.00","387.00","387.00","387.00","0.04K","2.79%"
"07/22/2022","376.50","376.50","376.50","376.50","","0.40%"
"07/21/2022","375.00","375.00","375.00","375.00","","-0.27%"
"07/20/2022","376.00","376.00","376.00","376.00","","1.35%"
"07/19/2022","371.00","371.00","371.00","371.00","","-0.97%"
"07/18/2022","374.65","374.65","374.65","374.65","","-2.56%"
"07/15/2022","384.50","384.50","384.50","384.50","","-1.91%"
"07/14/2022","392.00","392.00","392.00","392.00","0.01K","-0.63%"
"07/13/2022","394.50","394.50","394.50","394.50","","0.00%"
"07/12/2022","394.50","394.50","394.50","394.50","","1.15%"
"07/11/2022","390.00","390.00","390.00","390.00","","0.39%"
"07/08/2022","388.50","388.50","388.50","388.50","","0.91%"
"07/07/2022","385.00","385.00","385.00","385.00","","-0.13%"
"07/06/2022","385.50","385.50","385.50","385.50","0.01K","1.58%"
"07/05/2022","379.50","379.50","379.50","379.50","0.03K","3.41%"
"07/01/2022","367.00","367.00","367.00","367.00","","-0.90%"
"06/30/2022","370.35","370.35","370.35","370.35","0.01K","1.60%"
"06/29/2022","364.50","364.50","364.50","364.50","0.03K","-0.27%"
"06/28/2022","365.50","365.50","365.50","365.50","0.04K","-1.08%"
"06/27/2022","369.50","369.50","369.50","369.50","0.31K","4.70%"
